,word,freq
gmo,gmo,2528
agriculture,agriculture,1765
farm,farm,1712
monsanto,monsanto,1676
farming,farming,1651
factory,factory,1027
food,food,950
amp,amp,837
ht…,ht…,797
organic,organic,749
farmers,farmers,703
via,via,694
change,change,650
https…,https…,583
can,can,516
the,the,463
farm365,farm365,434
climate,climate,425
labeling,labeling,367
righttoknow,righttoknow,354
stop,stop,338
farmtotable,farmtotable,337
farmersmarket,farmersmarket,335
sign,sign,334
want,want,327
foods,foods,322
farms,farms,312
corn,corn,310
health,health,304
toxic,toxic,289
how,how,281
httpst…,httpst…,280
american,american,264
cop21,cop21,259
tell,tell,259
cancer,cancer,257
will,will,257
key,key,247
reasons,reasons,239
pesticides,pesticides,237
are,are,234
labels,labels,232
new,new,229
httpstco…,httpstco…,226
glyphosate,glyphosate,222
justlabelit,justlabelit,211
cropinsurance,cropinsurance,207
now,now,207
big,big,206
one,one,206
show,show,206
bees,bees,205
like,like,199
feedthe9,feedthe9,197
climatechange,climatechange,195
say,say,194
says,says,191
support,support,191
combating,combating,190
crops,crops,190
cruelty,cruelty,190
petition,petition,188
water,water,186
monsantos,monsantos,184
salmon,salmon,180
get,get,179
association,association,177
increase,increase,177
humane,humane,175
what,what,175
youtube,youtube,175
label,label,173
need,need,170
animal,animal,165
certifying,certifying,164
foodsecurity,foodsecurity,162
studies,studies,162
htt…,htt…,160
world,world,160
httpstc…,httpstc…,159
know,know,159
industry,industry,157
its,its,157
bans,bans,156
roundup,roundup,155
allergies,allergies,153
jlang10001,jlang10001,153
great,great,151
people,people,150
wins,wins,149
cause,cause,145
use,use,142
animals,animals,141
neonicotinoids,neonicotinoids,138
nongmo,nongmo,138
future,future,136
just,just,131
stopdark,stopdark,131
finalhour,finalhour,130
gmwatch,gmwatch,130
million,million,130
dont,dont,129
disease,disease,128
help,help,127
high,high,127
seeds,seeds,127
http…,http…,126
live,live,126
nogmosverified,nogmosverified,126
take,take,126
illinois,illinois,125
study,study,124
wheat,wheat,124
outdoors,outdoors,123
eat,eat,122
news,news,122
defamation,defamation,121
right,right,121
pesticide,pesticide,120
china,china,119
why,why,119
fda,fda,118
learn,learn,118
millions,millions,116
time,time,116
day,day,115
research,research,115
risk,risk,113
investigation,investigation,112
today,today,112
buy,buy,111
causing,causing,111
genetically,genetically,111
down,down,110
video,video,110
gmolabeling,gmolabeling,109
good,good,109
immune,immune,109
who,who,109
animalfarms,animalfarms,108
noqrcodes,noqrcodes,108
scientists,scientists,108
americans,americans,107
level,level,107
mfa,mfa,107
hometown,hometown,106
shuts,shuts,106
thewhistleblowersconfession,thewhistleblowersconfession,106
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E38>,<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E38>,105
httpstconotvv39wcq,httpstconotvv39wcq,104
scientist,scientist,104
stltoday,stltoday,104
sugar,sugar,104
way,way,104
httpstcorpnrzy1pgh,httpstcorpnrzy1pgh,103
researchers,researchers,102
farmer,farmer,101
httpstcov2lejynjkc,httpstcov2lejynjkc,100
agtech,agtech,98
work,work,98
experts,experts,97
susanstopsongs,susanstopsongs,97
farmfairycrafts,farmfairycrafts,96
part,part,96
retweeted,retweeted,96
consumers,consumers,95
free,free,95
healthranger,healthranger,95
labelgmos,labelgmos,95
bee,bee,94
don’t,don’t,94
see,see,94
thanksgiving,thanksgiving,94
breaking,breaking,93
comes,comes,93
court,court,93
keep,keep,93
shows,shows,93
your,your,93
herbs,herbs,92
please,please,92
sustainable,sustainable,92
system,system,92
back,back,91
eating,eating,91
fed,fed,91
action,action,90
mandatory,mandatory,90
many,many,90
used,used,90
you,you,90
read,read,89
ceo,ceo,87
monsantoco,monsantoco,87
rights,rights,87
tumors,tumors,87
year,year,87
business,business,86
actions,actions,84
crop,crop,84
improve,improve,84
products,products,84
reduce,reduce,84
think,think,84
usrighttoknow,usrighttoknow,84
beef,beef,83
discovered,discovered,83
may,may,83
money,money,83
nutrition,nutrition,83
rt<U+25BA>,rt<U+25BA>,83
soil,soil,82
landmark,landmark,81
lies,lies,81
nytimes,nytimes,81
this,this,81
lawsuit,lawsuit,80
make,make,80
rats,rats,80
2015,2015,79
inflammation,inflammation,79
timeideas,timeideas,79
two,two,79
global,global,77
paper,paper,77
erinbrockovich,erinbrockovich,76
pay,pay,76
worst,worst,76
httpstcosilhe3dmjn,httpstcosilhe3dmjn,75
science,science,75
turkeys,turkeys,75
closer,closer,74
midwest,midwest,74
piece,piece,74
sanctuary,sanctuary,74
usda,usda,74
environment,environment,73
feed,feed,73
fight,fight,73
made,made,73
vegan,vegan,73
women,women,73
carbon,carbon,72
hard,hard,72
info,info,72
killing,killing,72
step,step,72
agchat,agchat,71
diet,diet,71
journalists,journalists,71
move,move,71
changing,changing,70
httpstcoksad4zprz5,httpstcoksad4zprz5,70
obesity,obesity,70
our,our,70
production,production,70
banning,banning,69
hijacking,hijacking,69
modfarm,modfarm,69
much,much,69
organiclife,organiclife,69
consumedmovie,consumedmovie,68
country,country,68
cruel,cruel,68
found,found,68
life,life,68
cuts,cuts,67
sprayed,sprayed,67
chemical,chemical,66
deal,deal,66
harm,harm,66
oil,oil,66
darylwein,darylwein,65
isnt,isnt,65
govegan,govegan,64
httpstcocb7mqwe2qs,httpstcocb7mqwe2qs,64
nogmo,nogmo,64
put,put,64
really,really,64
rescued,rescued,64
resolve,resolve,64
argentina,argentina,63
biotech,biotech,63
darkact,darkact,63
family,family,63
find,find,63
largest,largest,63
market,market,63
more,more,63
paris,paris,63
pigs,pigs,63
safety,safety,63
ttip,ttip,63
zoelist…,zoelist…,63
<U+25BA>anonymous,<U+25BA>anonymous,62
cruelties,cruelties,62
foster,foster,62
gmofreeusa,gmofreeusa,62
massachusetts,massachusetts,62
operationgreenrights,operationgreenrights,62
america,america,61
based,based,61
common,common,61
dead,dead,61
farms’,farms’,61
heart,heart,61
issues,issues,61
kids,kids,61
report,report,61
scheme,scheme,61
seed,seed,61
article,article,60
cbsthismorning,cbsthismorning,60
children,children,60
complaints,complaints,60
enough,enough,60
local,local,60
movement,movement,60
thanks,thanks,60
trade,trade,60
europe,europe,59
foundinmysearchhistory,foundinmysearchhistory,59
healthy,healthy,59
httpstcoflhwxcbsad,httpstcoflhwxcbsad,59
human,human,59
moved,moved,59
must,must,59
not,not,59
poison,poison,59
ratcheson,ratcheson,59
stopgmo,stopgmo,59
tech,tech,59
join,join,58
modified,modified,58
africa,africa,57
ban,ban,57
body,body,57
elanco,elanco,57
from,from,57
gmo917,gmo917,57
herbicide,herbicide,57
look,look,57
low,low,57
outd…,outd…,57
they,they,57
years,years,57
early,early,56
known,known,56
<U+25BA>stop,<U+25BA>stop,55
editorial,editorial,55
httpstcolphtnu2ab1,httpstcolphtnu2ab1,55
httpstcoodcp0ghrti,httpstcoodcp0ghrti,55
impact,impact,55
kill,kill,55
long,long,55
safe,safe,55
state,state,55
technology,technology,55
try,try,55
cases,cases,54
engineered,engineered,54
government,government,54
industrial,industrial,54
likely,likely,54
