"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","searchTerm"
"1","RT @assadzamir: Our NHLP supporting women in #Afghanistan. Empowering and strengthening our population everyday. #agriculture  https://t.co…",FALSE,0,NA,2015-12-03 12:23:32,FALSE,NA,"672390712089030657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HJalalzai",1,TRUE,FALSE,NA,NA,"agriculture"
"2","RT @assadzamir: 13 tons of honey produced in Helmand this year. #Afghanistan #agriculture @MAIL_Afg https://t.co/nMuqnr2lFo https://t.co/Hp…",FALSE,0,NA,2015-12-03 12:23:14,FALSE,NA,"672390635043860480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HJalalzai",15,TRUE,FALSE,NA,NA,"agriculture"
"3","RT @AfricaBizz: #BoINigeria recommits to Industrial Growth in #SMEs, #Agriculture https://t.co/qJjD5blNMA - @africabizz @BOINigeria https:/…",FALSE,0,NA,2015-12-03 12:21:44,FALSE,NA,"672390256608563200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","africanewsfeed",3,TRUE,FALSE,NA,NA,"agriculture"
"4","Check out @MeagSeag's presentation for the @Fton_Chamber #resourcecities #forestry #agriculture #energy https://t.co/FI9IyjWXS6",FALSE,0,NA,2015-12-03 12:20:38,FALSE,NA,"672389981168627712",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","BioscienceNB",0,FALSE,FALSE,NA,NA,"agriculture"
"5","RT https://t.co/XSFY8yxRi5 USDA report warns #climatechange may impede #foodsecurity https://t.co/pEBKLqYZzn #water #food #agriculture #f…",FALSE,0,NA,2015-12-03 12:18:16,FALSE,NA,"672389384486920193",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Denovo777",0,FALSE,FALSE,NA,NA,"agriculture"
"6","RT https://t.co/mtyuNCEdeM USDA report warns #climatechange may impede #foodsecurity https://t.co/pEBKLqYZzn #water #food #agriculture #f…",FALSE,0,NA,2015-12-03 12:18:15,FALSE,NA,"672389383060893696",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Denovo777",0,FALSE,FALSE,NA,NA,"agriculture"
"7","RT @WorldBank: Today, #agriculture accounts for 70% of global #water withdrawals: https://t.co/neOba1eUbx #COP21 https://t.co/vGen8c02R6",FALSE,0,NA,2015-12-03 12:17:50,FALSE,NA,"672389276924059649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ipromisegh",72,TRUE,FALSE,NA,NA,"agriculture"
"8","Retweeted AfricaBizz (@AfricaBizz):

#BoINigeria recommits to Industrial Growth in #SMEs, #Agriculture... https://t.co/WoGSlZjgZ0",FALSE,0,NA,2015-12-03 12:16:20,FALSE,NA,"672388898736091136",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","BOINigeria",0,FALSE,FALSE,NA,NA,"agriculture"
"9","RT @AfricaBizz: #BoINigeria recommits to Industrial Growth in #SMEs, #Agriculture https://t.co/qJjD5blNMA - @africabizz @BOINigeria https:/…",FALSE,0,NA,2015-12-03 12:16:17,FALSE,NA,"672388886472073216",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","BOINigeria",3,TRUE,FALSE,NA,NA,"agriculture"
"10","RT @Bayer4Crops: Would you quit the @NFL for #farming? #agriculture #Thankful4Ag https://t.co/5v9CfwsclV",FALSE,0,NA,2015-12-03 12:15:00,FALSE,NA,"672388561170231300",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","openscienceeu",2,TRUE,FALSE,NA,NA,"agriculture"
"11","RT @FAOKnowledge: No other sector is more sensitive to #climatechange than #agriculture https://t.co/DnQc9FRQjI #COP21 https://t.co/EuHuua2…",FALSE,0,NA,2015-12-03 12:14:39,FALSE,NA,"672388474155220992",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","buildingvirtue",22,TRUE,FALSE,NA,NA,"agriculture"
"12","RT @BishopBurton: From #agriculture and #equine to #sport and #tourism, we have a great range of #degrees... https://t.co/ou47zLcEcJ https:…",FALSE,0,NA,2015-12-03 12:13:14,FALSE,NA,"672388119166062593",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","HorseyxLover",1,TRUE,FALSE,NA,NA,"agriculture"
